
EPOCH: 1 | Train Loss: 0.00015905390318948776 | Validation Loss: 2.8423510229913518e-05 | Validation PSNR: 42.531088277593085
EPOCH: 2 | Train Loss: 6.843067239969969e-06 | Validation Loss: 3.638298585428856e-05 | Validation PSNR: 41.48452070018483
EPOCH: 3 | Train Loss: 9.437675885237695e-07 | Validation Loss: 4.2578634747769684e-05 | Validation PSNR: 40.80203538350972
EPOCH: 4 | Train Loss: 1.4854683740850305e-06 | Validation Loss: 4.4422296923585236e-05 | Validation PSNR: 40.61865964532891
EPOCH: 5 | Train Loss: 5.722950504605251e-07 | Validation Loss: 4.304851609049365e-05 | Validation PSNR: 40.7540272393975
EPOCH: 6 | Train Loss: 5.93293236761383e-07 | Validation Loss: 4.255671956343576e-05 | Validation PSNR: 40.80559542527624
EPOCH: 7 | Train Loss: 7.394046974695812e-07 | Validation Loss: 4.255843668943271e-05 | Validation PSNR: 40.80480958443118
EPOCH: 8 | Train Loss: 3.613933756696497e-07 | Validation Loss: 4.29266547143925e-05 | Validation PSNR: 40.76701676862057
EPOCH: 9 | Train Loss: 3.4581748309392424e-07 | Validation Loss: 4.297125997254625e-05 | Validation PSNR: 40.76280000309228
EPOCH: 10 | Train Loss: 3.0939060025048093e-07 | Validation Loss: 4.3131894926773384e-05 | Validation PSNR: 40.74607498936232
EPOCH: 11 | Train Loss: 2.977530471071077e-07 | Validation Loss: 4.293372330721468e-05 | Validation PSNR: 40.76718551657797
EPOCH: 12 | Train Loss: 2.5387882374161563e-07 | Validation Loss: 4.260697096469812e-05 | Validation PSNR: 40.79893394058941
EPOCH: 13 | Train Loss: 1.947266099477929e-07 | Validation Loss: 4.291188815841451e-05 | Validation PSNR: 40.768899066142446
EPOCH: 14 | Train Loss: 1.6613837772183615e-07 | Validation Loss: 4.2817093344638124e-05 | Validation PSNR: 40.778662669892825
EPOCH: 15 | Train Loss: 1.46516939025787e-07 | Validation Loss: 4.272252044756897e-05 | Validation PSNR: 40.78799785236575
EPOCH: 16 | Train Loss: 1.2127298987252288e-07 | Validation Loss: 4.283931775717065e-05 | Validation PSNR: 40.776552074221485
EPOCH: 17 | Train Loss: 1.1204387817542738e-07 | Validation Loss: 4.297344639780931e-05 | Validation PSNR: 40.76303957460105
EPOCH: 18 | Train Loss: 1.0155731189342987e-07 | Validation Loss: 4.290067226975225e-05 | Validation PSNR: 40.77046682017401
EPOCH: 19 | Train Loss: 9.880368168069253e-08 | Validation Loss: 4.274628372513689e-05 | Validation PSNR: 40.786113147951276
EPOCH: 20 | Train Loss: 8.851115040897639e-08 | Validation Loss: 4.2727813706733286e-05 | Validation PSNR: 40.78776265499904
EPOCH: 21 | Train Loss: 7.96650851953018e-08 | Validation Loss: 4.3013646063627675e-05 | Validation PSNR: 40.759018580574384
EPOCH: 22 | Train Loss: 7.454813300000751e-08 | Validation Loss: 4.2880750697804615e-05 | Validation PSNR: 40.77234616682943
EPOCH: 23 | Train Loss: 6.953743536541879e-08 | Validation Loss: 4.293543315725401e-05 | Validation PSNR: 40.76697278791536
EPOCH: 24 | Train Loss: 6.149191733584303e-08 | Validation Loss: 4.285886825527996e-05 | Validation PSNR: 40.774646735625026
EPOCH: 25 | Train Loss: 6.265511842684646e-08 | Validation Loss: 4.293590609449893e-05 | Validation PSNR: 40.76690481484898
EPOCH: 26 | Train Loss: 5.6919979840586166e-08 | Validation Loss: 4.280716530047357e-05 | Validation PSNR: 40.779887378974614
EPOCH: 27 | Train Loss: 5.123832025333286e-08 | Validation Loss: 4.2772146116476506e-05 | Validation PSNR: 40.78324596922652
EPOCH: 28 | Train Loss: 4.9455103123818844e-08 | Validation Loss: 4.2808547732420266e-05 | Validation PSNR: 40.77965967069193
EPOCH: 29 | Train Loss: 4.2390574606088194e-08 | Validation Loss: 4.277449625078589e-05 | Validation PSNR: 40.78310940945945
EPOCH: 30 | Train Loss: 3.8351966935579185e-08 | Validation Loss: 4.279335553292185e-05 | Validation PSNR: 40.78128151135687
EPOCH: 31 | Train Loss: 3.5749312843336156e-08 | Validation Loss: 4.28001512773335e-05 | Validation PSNR: 40.78056451674698
EPOCH: 32 | Train Loss: 3.240648993596551e-08 | Validation Loss: 4.287140109227039e-05 | Validation PSNR: 40.773510328411746
EPOCH: 33 | Train Loss: 2.7781155154116277e-08 | Validation Loss: 4.28093335358426e-05 | Validation PSNR: 40.779629379428904
EPOCH: 34 | Train Loss: 3.0740299195031184e-08 | Validation Loss: 4.281166548025794e-05 | Validation PSNR: 40.7794022985087
slurmstepd-cs-gpu-01: error: *** JOB 90390 ON cs-gpu-01 CANCELLED AT 2024-09-22T17:40:42 ***
